Funds Center,Fund,Status,Document Identifier Code,Order Type,Purchasing Document,DoD Document Number,Storage Location,Short Text,FSC Code,Material,Delivery Date,Supply Category Material Code,MILSTRIP Status,Order Quantity,Order Unit,QTY Open,QTY Received,Requirement Priority,Net Order Price,Gross order value,Fund Code,Rec Code,Issuing Storage Loc.,QTY Intransit,QTY ISSUE (STO),Vendor,Advice Code,ARC,Del Ind,Delivery Completed,Project Code
A82BD,202010D17,Closed,A01,ZAR,7109408733,W90E2N63340018,0BST,"BATTERY,STORAGE",6140,014851472,11/29/16,9G,,4,EA,0,4,2,316.04,"1,264.16",J,Z,WHQ1,0,4,PLANT2001,,X,,X,
A82BD,202010D17,Closed,A01,ZAR,7109574754,W90E2N63500001,0BST,"COVER,FITTED,VEHICULAR BODY",2540,013873987,12/16/16,9K,,1,EA,0,1,5,807.35,807.35,J,O,WHQ1,0,1,PLANT2001,,X,,X,
A82BD,202010D17,Closed,A01,ZAR,7109604905,W90E2N63500002,0BST,"FUSE,INCLOSED LINK",5920,121984234,12/16/16,9G,,1,EA,0,1,2,0.42,0.42,J,Z,WHQ1,0,1,PLANT2001,,X,,X,
A82BD,202010D17,Closed,A01,ZAR,7109604906,W90E2N63500003,0BST,"FUSE,INCLOSED LINK",5920,123130640,12/16/16,9G,,1,EA,0,1,2,0.53,0.53,J,Z,WHQ1,0,1,PLANT2001,,X,,X,
A82BD,202010D17,Closed,A01,ZAR,7109604907,W90E2N63500004,0BST,"COVER,FITTED,VEHICULAR BODY",2540,014601075,12/16/16,9K,,1,EA,0,1,5,702.46,702.46,J,Z,WHQ1,0,1,PLANT2001,,X,,X,
A82BD,202010D17,Closed,A01,ZAR,7109604908,W90E2N63500005,0BST,"FUSE,ENCLOSED LINK",5920,123084126,12/16/16,9G,,1,FV,0,1,2,2.12,2.12,J,Z,WHQ1,0,1,PLANT2001,,X,,X,
A82BD,202010D17,Closed,A01,ZAR,7109604909,W90E2N63500006,0BST,"BATTERY,STORAGE",6140,014851472,12/16/16,9G,,4,EA,0,4,2,316.04,"1,264.16",J,Z,WHQ1,0,4,PLANT2001,,X,,X,
A82BD,202010D17,Closed,A01,ZAR,7109604910,W90E2N63500007,0BST,"MOUNT,RESILIENT,WEAPON SYSTEM",5342,013690893,12/16/16,9T,,2,EA,0,2,5,27.31,54.62,J,Z,WHQ1,0,2,PLANT2001,,X,,X,
A82BD,202010D17,Closed,A01,ZAR,7109604911,W90E2N63500008,0BST,"MOUNT,RESILIENT,WEAPON SYSTEM",5342,013717973,12/16/16,9T,,2,EA,0,2,5,11.09,22.18,J,Z,WHQ1,0,2,PLANT2001,,X,,X,
A82BD,202010D17,Closed,A01,ZAR,7109604912,W90E2N63500009,0BST,"SLING,SMALL ARMS",1010,015631636,12/16/16,9M,,5,EA,0,5,12,33.89,169.45,J,Z,WHQ1,0,5,PLANT2001,,X,,X,
A82BD,202010D17,Closed,A01,ZAR,7109604913,W90E2N63500010,0BST,"SLING,SMALL ARMS",1005,013689852,12/16/16,9M,,30,EA,0,30,12,3.30,99.00,J,Z,WHQ1,0,30,PLANT2001,,X,,X,
A82BD,202010D17,Closed,A01,ZAR,7109604914,W90E2N63500011,0BST,"BATTERY,NONRECHARGEABLE",6135,008264798,12/16/16,9B,,25,PG,0,25,12,3.04,76.00,J,Z,WHQ1,0,25,PLANT2001,,X,,X,
A82BD,202010D17,Closed,A01,ZAR,7109604925,W90E2N63500012,0BST,"ROD SECTION,CLEANING,SMALL ARMS",1005,000506357,12/16/16,9M,,1,BX,0,1,12,14.51,14.51,J,Z,WHQ1,0,1,PLANT2001,,X,,X,
A82BD,202010D17,Closed,A01,ZAR,7109604926,W90E2N63500013,0BST,"CHOCK,WHEEL-TRACK",2540,014594266,12/16/16,9K,,20,EA,0,20,12,27.19,543.80,J,Z,WHQ1,0,20,PLANT2001,,X,,X,
A82BD,202010D17,Closed,A01,ZAR,7109604927,W90E2N63500014,0BST,"CAP,WATER CANTEEN",8465,015299800,12/16/16,9Z,,15,EA,0,15,12,5.05,75.75,J,Z,WHQ1,0,15,PLANT2001,,X,,X,
A82BD,202010D17,Closed,A01,ZAR,7109604928,W90E2N63500015,0BST,"INDICATOR,SAFETY,RI",1005,004188557,12/16/16,9M,,100,PG,0,100,12,1.84,184.00,J,Z,WHQ1,0,100,PLANT2001,,X,,X,
A82BD,202010D17,Closed,A01,ZAR,7109604929,W90E2N63500016,0BST,"CASE,UNMOUNTED MAGNETIC COMPASS",6605,009468757,12/16/16,9G,,15,EA,0,15,12,21.86,327.90,J,Z,WHQ1,0,15,PLANT2001,,X,,X,
A82BD,202010D17,Closed,A01,ZAR,7109656470,W90E2N63570008,0BST,"LUBRICATING OIL,GEAR",9150,010355393,12/22/16,36,,8,CN,0,8,2,72.71,581.68,J,Z,WHJ1,0,8,PLANT2001,,X,,X,
A82BD,202010D17,Closed,A01,ZAR,7109663763,W90E2N63570001,0BST,"PACKING,PREFORMED",5330,001721919,12/22/16,9T,,2,EA,0,2,5,0.45,0.90,J,Z,WHQ1,0,2,PLANT2001,,X,,X,
A82BD,202010D17,Closed,A01,ZAR,7109663764,W90E2N63570002,0BST,"PACKING,PREFORMED",5330,001721919,12/22/16,9T,,2,EA,0,2,5,0.45,0.90,J,Z,WHQ1,0,2,PLANT2001,,X,,X,
A82BD,202010D17,Closed,A01,ZAR,7109663765,W90E2N63570003,0BST,"BUMPER,VEHICULAR",2540,013776607,12/22/16,9K,,1,EA,0,1,2,378.14,378.14,J,Z,WHQ1,0,1,PLANT2001,,X,,X,
A82BD,202010D17,Closed,A01,ZAR,7109663766,W90E2N63570004,0BST,ANTIFREEZE,6850,014649125,12/22/16,36,,10,GL,0,10,2,12.64,126.40,J,Z,WHJ1,0,10,PLANT2001,,X,,X,
A82BD,202010D17,Closed,A01,ZAR,7109663767,W90E2N63570005,0BST,"SEALANT,RTV",9160,015152484,12/22/16,36,,1,EA,0,1,2,8.95,8.95,J,Z,WHJ1,0,1,PLANT2001,,X,,X,
A82BD,202010D17,Closed,A01,ZAR,7109663768,W90E2N63570006,0BST,"LUBRICATING OIL,ENGINE",9150,014211424,12/22/16,36,,20,CN,0,20,2,60.85,"1,217.00",J,Z,WHJ1,0,20,PLANT2001,,X,,X,
A82BD,202010D17,Closed,A01,ZAR,7109663769,W90E2N63570007,0BST,"LUBRICATING OIL,ENGINE",9150,014211432,12/22/16,36,,2,DR,0,2,2,543.97,"1,087.94",J,Z,WHJ1,0,2,PLANT2001,,X,,X,
A82BD,202010D17,Closed,A01,ZAR,7109776467,W90E2N70100001,0BST,"ARM,WINDSHIELD WIPER",2540,015684025,1/10/17,9K,,3,EA,0,3,5,5.68,17.04,J,Z,WHQ1,0,3,PLANT2001,,X,,X,
A82BD,202010D17,Closed,A01,ZAR,7109776468,W90E2N70100002,0BST,"ARM,WINDSHIELD WIPER",2540,015684025,1/10/17,9K,,3,EA,0,3,5,5.68,17.04,J,Z,WHQ1,0,3,PLANT2001,,X,,X,
A82BD,202010D17,Closed,A01,ZAR,7109776469,W90E2N70100003,0BST,"SHAFT,DRIVE,FLEXIBL",3040,123248076,1/10/17,9K,,1,EA,0,1,2,21.43,21.43,J,Z,WHQ1,0,1,PLANT2001,,X,,X,
A82BD,202010D17,Closed,A0A,ZWA,7109851527,W90E2N70390012,0BST,WHEEL AND TIRE ASSEMBLY,2530,200003667,2/10/17,9K,,1,EA,0,1,2,"4,108.00","4,108.00",J,L,WHQ1,0,1,PLANT2001,,X,,X,
A82BD,202010D17,Closed,A01,ZAR,7109880093,W90E2N70190001,0BST,"GUARD,SPLASH,VEHICULAR",2540,011343714,1/20/17,9K,,1,EA,0,1,2,16.53,16.53,J,Z,WHQ1,0,1,PLANT2001,,X,,X,
A82BD,202010D17,Closed,A01,ZAR,7109880094,W90E2N70190002,0BST,"BUSHING,SLEEVE",3120,014579719,1/20/17,9T,,2,EA,0,2,5,30.65,61.30,J,Z,WHQ1,0,2,PLANT2001,,X,,X,
A82BD,202010D17,Closed,A01,ZAR,7109880095,W90E2N70190003,0BST,"BUSHING,SLEEVE",3120,014579719,1/20/17,9T,,2,EA,0,2,5,30.65,61.30,J,Z,WHQ1,0,2,PLANT2001,,X,,X,
A82BD,202010D17,Closed,A01,ZAR,7109880096,W90E2N70190004,0BST,"MOUNT,RESILIENT,WEAPON SYSTEM",5342,013690893,1/20/17,9T,,2,EA,0,2,5,27.31,54.62,J,Z,WHQ1,0,2,PLANT2001,,X,,X,
A82BD,202010D17,Closed,A01,ZAR,7109887438,W90E2N70200001,0BST,"TANK,FUEL,ENGINE",2910,011573652,1/20/17,9K,,1,EA,0,1,2,"1,318.02","1,318.02",J,H,WHQ1,0,1,PLANT2001,,X,,X,
A82BD,202010D17,Closed,A01,ZAR,7109945142,W90E2N70250001,0BST,"TOWBAR,MOTOR VEHICLE",4910,015547296,1/18/17,2K,B7,3,EA,0,3,2,"1,883.00","5,649.00",J,D,WHQ1,0,3,PLANT2001,,D,,X,
A82BD,202010D17,Closed,A01,ZAR,7110058626,W90E2N70330001,0BST,"ARMOR,TRANSPARENT,VEHICULAR WINDOW",2541,015814181,1/27/17,9K,,1,EA,0,1,2,"1,664.40","1,664.40",J,O,WHQ1,0,1,PLANT2001,,X,,X,
A82BD,202010D17,Closed,A01,ZAR,7110058627,W90E2N70330002,0BST,"COVER,FITTED,VEHICULAR BODY",2540,013306169,1/27/17,9K,,1,AY,0,1,2,239.32,239.32,J,F,WHQ1,0,1,PLANT2001,,X,,X,
A82BD,202010D17,Closed,A01,ZAR,7110058628,W90E2N70330003,0BST,"PUMP,WINDOW WASHER",2540,013859000,1/28/17,9K,,1,EA,0,1,2,64.11,64.11,J,Z,WHQ1,0,1,PLANT2001,,X,,X,
A82BD,202010D17,Closed,A01,ZAR,7110058629,W90E2N70330004,0BST,"MOTOR,WINDSHIELD WIPER,ELECTRIC",2540,011860969,1/28/17,9K,,1,EA,0,1,2,162.22,162.22,J,Z,WHQ1,0,1,PLANT2001,,X,,X,
