UIC12,Receiving SLOC,Issue Storage Loc,Force Element - SLOC,DODAAC,AR DOD Doc Num,PReq No.,PO Document Number,SCMC,PR NIIN,Date on which the AR,Column1,PR Funds Center,AR Funds Center,Fiscal Year,AR Functional area,Turn-In Date,Clearing Date,Total PR Count,Expected Credit,Open PR Count,Open Credit,Closed PR Count, Received Credit 
WH8DAAMNT,2001/WHQ1,2000/0BST,WH8DAAMNT,W90E2N,W90E2N71910003,1015939988,7111943379,9O,15419993,7/12/17,,ARMY/A82BD,ARMY/A82BD,V9/2017,113003WEAD,7/11/17,7/13/17,1,886,0,,1,
WH8DAAMNT,2001/WHQ1,2000/0BST,WH8DAAMNT,W90E2N,W90E2N71910003,1015939988,7111943379,9O,15419993,7/13/17,,ARMY/A82BD,ARMY/A82BD,V9/2017,113003WEAD,7/11/17,7/13/17,1,-886,0,,1,
WH8DAAMNT,2001/WHQ1,2000/0BST,WH8DAAMNT,W90E2N,W90E2N71910003,1015939988,7111943379,9O,15419993,7/13/17,,ARMY/A82BD,ARMY/A82BD,V9/2017,113003WEAD,7/11/17,7/15/17,1,886,0,,1,
WH8DAAMNT,2001/WHQ1,2000/0BST,WH8DAAMNT,W90E2N,W90E2N82000005,1028045796,7116279870,9Z,15289280,7/27/18,identifier assembly,ARMY/A82BD,ARMY/A82BD,V9/2018,113003WEAD,7/19/18,7/27/18,1,,0,,1,17601.00
WH8DAAMNT,2001/WHQ1,2000/0BST,WH8DAAMNT,W90E2N,W90E2N71910005,1016344816,7111942399,9O,200006890,7/12/17,,ARMY/A82BD,ARMY/A82BD,V9/2017,113003WEAD,7/11/17,7/13/17,1,173,0,,1,
WH8DAAMNT,2001/WHQ1,2000/0BST,WH8DAAMNT,W90E2N,W90E2N71910005,1016344816,7111942399,9O,200006890,7/13/17,,ARMY/A82BD,ARMY/A82BD,V9/2017,113003WEAD,7/11/17,7/13/17,1,-173,0,,1,
WH8DAAMNT,2001/WHQ1,2000/0BST,WH8DAAMNT,W90E2N,W90E2N71910005,1016344816,7111942399,9O,200006890,7/13/17,,ARMY/A82BD,ARMY/A82BD,V9/2017,113003WEAD,7/11/17,7/15/17,1,173,0,,1,
WH8DAAMNT,2001/WHQ1,2000/0BST,WH8DAAMNT,W90E2N,W90E2N82000006,1028824861,7116279871,9Z,15289280,8/7/18,identifier assembly,ARMY/A82BD,ARMY/A82BD,V9/2018,113003WEAD,8/3/18,8/7/18,1,,0,,1,17601.00
WH8DAAMNT,2001/WHQ1,2000/0BST,WH8DAAMNT,W90E2N,W90E2N72290001,1020165420,7112414918,9K,15592715,8/18/17,,ARMY/A82BD,ARMY/A82BD,V9/2017,113003WEAD,8/17/17,8/21/17,1,1017,0,,1,
WH8DAAMNT,2001/WHQ1,2000/0BST,WH8DAAMNT,W90E2N,W90E2N72290001,1020165420,7112414918,9K,15592715,8/21/17,,ARMY/A82BD,ARMY/A82BD,V9/2017,113003WEAD,8/17/17,8/21/17,1,-1017,0,,1,
