Column1,FY,Year,WorkCenter,AdminNum,Equipment,Serial,WorkOrder,Type,Priority,ProjectCode,Description,Created.on,Release.date,Comp.Date,Material,Cost,credit,Date,vehicle,month,CBMS,jbpds,rws,majComponent,days
165,FY18,18,WH8DAA,71-111,1011279664,NBC-0108-11,1003262845,PM01,1,,CIRCUIT BREAKER ICA BOX WILL NOT RESET,2/13/18,,6/12/18,14818579,3241,,Feb-18,111,2,FALSE,FALSE,FALSE,0,
216,FY19,19,WH8DAA,71-111,1011279664,NBC-0108-11,1004357069,PM01,1,,JBPDS CONTROL ASSEMBLY,8/7/18,,10/16/18,14818579,22318,,Aug-18,111,8,FALSE,TRUE,FALSE,1,328
227,FY19,19,WH8DAA,71-122,1011279723,NBC-0111-11,1004602626,PM01,1,,JBPDS Controller inop,9/12/18,,10/16/18,14818579,22097,,Sep-18,122,9,FALSE,TRUE,FALSE,1,85
418,FY19,19,WH8DAA,71-122,1011279723,NBC-0111-11,1006122321,PM01,2,,rear deck hatch handles damaged,5/9/19,,7/17/19,14818579,854.57,,May-19,122,5,FALSE,FALSE,FALSE,0,
404,FY19,19,WH8DAA,71-122,1011279723,NBC-0111-11,1005835754,PM01,2,,STEERING DAMPER REPLACEMENT,3/30/19,,5/9/19,14818579,0,,Mar-19,122,3,FALSE,FALSE,FALSE,0,
398,FY20,20,WH8DAA,71-122,1011279723,NBC-0111-11,1005711625,PM01,2,,REAR WINDOW HANDLE BOLT BROKEN,3/13/19,,11/21/19,14818579,7.12,,Mar-19,122,3,FALSE,FALSE,FALSE,0,
171,FY18,18,WH8DAA,71-121,1011279686,NBC-0109-11,1003514191,PM01,1,,LEFT AND RIGHT ABS MODULADORS INOP,3/22/18,,4/13/18,14818579,390,,Mar-18,121,3,FALSE,FALSE,FALSE,0,
172,FY18,18,WH8DAA,71-121,1011279686,NBC-0109-11,1003594536,PM01,1,,POWER STEERING PUMP INOP,4/4/18,,5/1/18,14818579,0,,Apr-18,121,4,FALSE,FALSE,FALSE,0,
173,FY18,18,WH8DAA,71-121,1011279686,NBC-0109-11,1003663591,PM01,1,,LEFT AND RIGHT REAR BREAK VALVES INOP,4/14/18,,5/23/18,14818579,0,,Apr-18,121,4,FALSE,FALSE,FALSE,0,
174,FY18,18,WH8DAA,71-111,1011279664,NBC-0108-11,2001899197,PM02,A,,AFQ-Annual,5/3/18,,5/7/18,14818579,0,,May-18,111,5,FALSE,FALSE,FALSE,0,
